"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.164113530E1,6.079768312E1,2.573548608E1,7.766172953E1,1.409999967E0,1.691999969E2,3.790092468E0,2.500000000E0
4.264093764E1,6.079767093E1,2.573549222E1,7.766811168E1,1.460000038E0,1.650000000E2,3.790092468E0,2.500000000E0
4.364120139E1,6.079765848E1,2.573549889E1,7.748803289E1,1.480000019E0,1.643999939E2,3.790092468E0,2.500000000E0
4.464162493E1,6.079764589E1,2.573550498E1,7.733285564E1,1.450000048E0,1.661000061E2,3.790092468E0,2.500000000E0
4.564133030E1,6.079763346E1,2.573551076E1,7.725000418E1,1.480000019E0,1.670000000E2,3.790092468E0,2.500000000E0
4.664144217E1,6.079762088E1,2.573551786E1,7.727030485E1,1.470000029E0,1.673999939E2,3.790092468E0,2.500000000E0
4.764174154E1,6.079760834E1,2.573552443E1,7.736433494E1,1.470000029E0,1.676999969E2,3.790092468E0,2.500000000E0
4.864114170E1,6.079759508E1,2.573553237E1,7.730944315E1,1.490000010E0,1.646999969E2,3.790092468E0,2.500000000E0
4.964154514E1,6.079758124E1,2.573554192E1,7.737448953E1,1.610000014E0,1.621999969E2,3.790092468E0,2.500000000E0
5.064102342E1,6.079756717E1,2.573555040E1,7.736848943E1,1.580000043E0,1.686000061E2,3.790092468E0,2.500000000E0
5.164124040E1,6.079755223E1,2.573555758E1,7.745587237E1,1.580000043E0,1.655000000E2,3.790092468E0,2.500000000E0
5.264157232E1,6.079753764E1,2.573556668E1,7.747380019E1,1.620000005E0,1.635000000E2,3.790092468E0,2.500000000E0
5.364135654E1,6.079752326E1,2.573557495E1,7.743270509E1,1.570000052E0,1.668000031E2,3.790092468E0,2.500000000E0
5.464088654E1,6.079750809E1,2.573558137E1,7.729572182E1,1.600000024E0,1.676999969E2,3.790092468E0,2.500000000E0
5.564163654E1,6.079749295E1,2.573558625E1,7.726640166E1,1.600000024E0,1.683999939E2,3.790092468E0,2.500000000E0
5.664149326E1,6.079747809E1,2.573559206E1,7.725386736E1,1.610000014E0,1.678000031E2,3.790092468E0,2.500000000E0
5.764101664E1,6.079746375E1,2.573559787E1,7.736749174E1,1.590000033E0,1.673000031E2,3.790092468E0,2.500000000E0
